Customer Name	Mobile Number	Vehicle Type	Distance	Driver Charges	Base Amount	GST Amount	Total Amount	Date
Arjun Sharma	9876543210	Sedan	15.5	200	386	46.32	432.32	15-01-2024
Priya Patel	9123456789	XUV	22.3	250	562.2	67.46	629.66	22-01-2024
Rahul Kumar	9988776655	Jumbo	8.75	150	316.25	37.95	354.2	28-01-2024
Sneha Gupta	9456789123	Sedan	35.2	300	722.4	86.69	809.09	05-02-2024
Vikram Singh	9321654987	XUV	18.9	180	444.6	53.35	497.95	12-02-2024
Anjali Reddy	9654321789	Jumbo	12.4	220	455.6	54.67	510.27	18-02-2024
Karthik Iyer	9789123456	Sedan	28.75	280	625	75	700	25-02-2024
Deepika Joshi	9147258369	XUV	31.2	320	756.8	90.82	847.62	03-03-2024
Ravi Agarwal	9963258741	Jumbo	19.6	240	612.4	73.49	685.89	10-03-2024
Meera Nair	9852741963	Sedan	42.1	350	855.2	102.62	957.82	17-03-2024
Suresh Pillai	9741852963	XUV	26.8	290	665.2	79.82	745.02	24-03-2024
Kavya Menon	9369258147	Jumbo	14.2	200	469.8	56.38	526.18	31-03-2024
Amit Verma	9258147369	Sedan	20.5	230	476	57.12	533.12	07-04-2024
Pooja Saxena	9159357486	XUV	33.7	340	811.8	97.42	909.22	14-04-2024
Manish Jain	9987412365	Jumbo	25.3	270	750.7	90.08	840.78	21-04-2024
Shruti Kapoor	9654789321	Sedan	17.8	210	423.6	50.83	474.43	28-04-2024
Rohit Malhotra	9321456789	XUV	29.4	300	711.6	85.39	796.99	05-05-2024
Nisha Bansal	9789456123	Jumbo	11.9	190	416.1	49.93	466.03	12-05-2024
Gaurav Chopra	9456123789	Sedan	38.6	330	793.2	95.18	888.38	19-05-2024
Sonal Bhatt	9123789456	XUV	24.7	260	605.8	72.7	678.5	26-05-2024
Akash Tiwari	9632587414	Jumbo	16.8	220	539.2	64.7	603.9	02-06-2024
Isha Sinha	9852963741	Sedan	32.4	310	698.8	83.86	782.66	09-06-2024
Nikhil Rao	9741963852	XUV	21.6	240	542.4	65.09	607.49	16-06-2024
Ananya Das	9369741852	Jumbo	13.5	200	456.5	54.78	511.28	23-06-2024
Varun Khanna	9258369741	Sedan	27.3	270	597.6	71.71	669.31	30-06-2024
Ritika Sharma	9147963258	XUV	36.9	350	866.6	103.99	970.59	07-07-2024
Sandeep Kumar	9963741258	Jumbo	22.1	250	669.9	80.39	750.29	14-07-2024
Preeti Singh	9874123695	Sedan	19.2	220	450.4	54.05	504.45	21-07-2024
Aditya Gupta	9785236941	XUV	30.8	320	751.2	90.14	841.34	28-07-2024
Swati Mishra	9632147896	Jumbo	18.4	230	579.6	69.55	649.15	04-08-2024
Rajesh Pandey	9521478963	Sedan	41.7	360	860.4	103.25	963.65	11-08-2024
Neha Agarwal	9856321479	XUV	25.9	280	642.6	77.11	719.71	18-08-2024
Kartik Bose	9741258963	Jumbo	15.6	210	506.4	60.77	567.17	25-08-2024
Divya Rathi	9369852741	Sedan	34.8	340	757.6	90.91	848.51	01-09-2024
Harish Goel	9258741369	XUV	23.4	250	577.6	69.31	646.91	08-09-2024
Pallavi Joshi	9147258963	Jumbo	12.8	190	433.2	51.98	485.18	15-09-2024
Rohan Desai	9963147852	Sedan	29.5	290	644	77.28	721.28	22-09-2024
Tanvi Lal	9852369741	XUV	37.2	370	890.8	106.9	997.7	29-09-2024
Ajay Soni	9741852369	Jumbo	20.9	240	637.1	76.45	713.55	06-10-2024
Shilpa Yadav	9632741852	Sedan	16.3	200	395.6	47.47	443.07	13-10-2024
Manav Garg	9521369874	XUV	32.1	330	779.4	93.53	872.93	20-10-2024
Rekha Prasad	9856147329	Jumbo	24.6	260	727.4	87.29	814.69	27-10-2024
Siddharth Roy	9741963258	Sedan	39.4	350	822.8	98.74	921.54	03-11-2024
Madhuri Shah	9369258741	XUV	26.7	270	643.8	77.26	721.06	10-11-2024
Arpit Jain	9258147963	Jumbo	17.3	220	548.7	65.84	614.54	17-11-2024
Kavita Bansal	9147963852	Sedan	33.6	320	723.2	86.78	809.98	24-11-2024
Nitin Mehta	9963258147	XUV	28.9	300	704.6	84.55	789.15	01-12-2024
Sonali Dutta	9852147963	Jumbo	21.5	250	658.5	79.02	737.52	08-12-2024
Vishal Kapoor	9741258369	Sedan	44.2	380	910.4	109.25	1019.65	15-12-2024
Ritu Arora	9632963741	XUV	35.4	360	855.6	102.67	958.27	22-12-2024
Kunal Srivastava	9521741963	Jumbo	27.8	290	818.2	98.18	916.38	29-12-2024
